rank,ChineseName,originalName,rating,votes
163,三块广告牌,"Three Billboards Outside Ebbing, Missouri",8.7,472774
164,恋恋笔记本,The Notebook,8.5,373756
165,你看起来好像很好吃,おまえうまそうだな,8.8,195362
166,海洋,Océans,9.0,114606
167,虎口脱险,La grande vadrouille,8.9,136406
168,你的名字。,君の名は。,8.4,718615
169,头脑特工队,Inside Out,8.7,325795
170,二十二,二十二,8.7,160583
171,无敌破坏王,Wreck-It Ralph,8.7,293487
172,我是山姆,I Am Sam,8.9,146648
173,冰川时代,Ice Age,8.5,365680
174,雨中曲,Singin' in the Rain,9.0,121086
175,燃情岁月,Legends of the Fall,8.8,180734
176,爆裂鼓手,Whiplash,8.6,314324
177,未麻的部屋,Perfect Blue,8.9,140716
178,人工智能,Artificial Intelligence: AI,8.6,250978
179,模仿游戏,The Imitation Game,8.6,343250
180,一个叫欧维的男人决定去死,En man som heter Ove,8.8,186306
181,穿越时空的少女,時をかける少女,8.6,241369
182,忠犬八公物语,ハチ公物語,9.1,91626
183,魂断蓝桥,Waterloo Bridge,8.8,160678
184,房间,Room,8.8,221216
185,猜火车,Trainspotting,8.5,300783
186,魔女宅急便,魔女の宅急便,8.6,269281
187,恐怖游轮,Triangle,8.4,443400
188,完美陌生人,Perfetti sconosciuti,8.5,322709
189,罗生门,羅生門,8.7,169846
190,哪吒闹海,哪吒闹海,8.9,117060
191,海街日记,海街diary,8.7,203565
192,阿飞正传,阿飛正傳,8.5,285591
193,黑客帝国3：矩阵革命,The Matrix Revolutions,8.6,215952
194,香水,Perfume: The Story of a Murderer,8.5,352864
195,朗读者,The Reader,8.5,328038
196,浪潮,Die Welle,8.7,169029
197,天书奇谭,天书奇谭,9.1,82942
198,可可西里,可可西里,8.7,166183
199,谍影重重2,The Bourne Supremacy,8.6,212179
200,牯岭街少年杀人事件,牯嶺街少年殺人事件,8.8,143917
201,谍影重重,The Bourne Identity,8.5,252891
202,战争之王,Lord of War,8.6,218837
203,地球上的星星,Taare Zameen Par,8.9,115604
204,惊魂记,Psycho,8.9,115865
205,疯狂的石头,疯狂的石头,8.4,435846
206,青蛇,青蛇,8.5,294277
207,初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,8.3,611034
208,终结者2：审判日,Terminator 2: Judgment Day,8.6,191779
209,步履不停,歩いても 歩いても,8.8,132265
210,源代码,Source Code,8.4,509290
211,一次别离,جدایی نادر از سیمین,8.7,164469
212,追随,Following,8.9,105277
213,新龙门客栈,新龍門客棧,8.5,248843
214,小萝莉的猴神大叔,Bajrangi Bhaijaan,8.5,256741
215,爱在午夜降临前,Before Midnight,8.8,160467
216,再次出发之纽约遇见你,Begin Again,8.5,236602
217,撞车,Crash,8.6,214556
218,无耻混蛋,Inglourious Basterds,8.5,284380
219,功夫,功夫,8.3,435454
220,梦之安魂曲,Requiem for a Dream,8.7,141063
221,城市之光,City Lights,9.3,62359
222,东京物语,東京物語,9.2,69457
223,彗星来的那一夜,Coherence,8.5,263869
224,绿里奇迹,The Green Mile,8.7,140274
225,血钻,Blood Diamond,8.6,187317
226,2001太空漫游,2001: A Space Odyssey,8.7,142371
227,奇迹男孩,Wonder,8.6,305377
228,聚焦,Spotlight,8.8,167526
229,这个男人来自地球,The Man from Earth,8.5,238723
230,E.T. 外星人,E.T.: The Extra-Terrestrial,8.5,204915
231,末路狂花,Thelma &amp; Louise,8.7,133912
232,发条橙,A Clockwork Orange,8.5,232090
233,变脸,FaceOff,8.4,265925
234,黑鹰坠落,Black Hawk Down,8.6,162819
235,勇闯夺命岛,The Rock,8.6,177352
236,疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,8.6,282240
237,黄金三镖客,"Il buono, il brutto, il cattivo.",9.1,68763
238,我爱你,그대를 사랑합니다,9.0,81512
239,秒速5厘米,秒速5センチメートル,8.3,398765
240,国王的演讲,The King's Speech,8.4,425389
241,非常嫌疑犯,The Usual Suspects,8.6,157497
242,千钧一发,Gattaca,8.7,125176
243,遗愿清单,The Bucket List,8.6,181781
244,卡萨布兰卡,Casablanca,8.6,156261
245,头号玩家,Ready Player One,8.7,782831
246,新世界,신세계,8.7,135459
247,釜山行,부산행,8.4,523730
248,驴得水,驴得水,8.3,480885
249,美国丽人,American Beauty,8.5,232232
250,四个春天,四个春天,8.9,81374
